"County","Sector","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"ALAMEDA","Total","   10684.085867","   10391.361826","   11079.450563","   10791.224841","   10235.384987","   10299.877787","   10618.661255","   10590.955599","   10979.454929","   10722.210994","   10358.513085","   11177.972284","   11737.844800","   11182.200173","   11066.041486","   10671.132309","   10599.501403","   10424.976683","   10188.567959","   10662.161697","   10656.824483","    9984.913160","   10498.078875","   10384.333836","    9858.388895","    9442.803439","    9790.005719","    9287.523316","    9324.783738","    9607.565521","  313296.801509"
"ALPINE","Total","      18.906214","      18.704208","      18.976912","      17.415654","      16.209900","      15.983364","      18.176468","      13.888339","      14.293288","      17.655755","      18.264193","      18.268392","      20.012384","      18.914285","      17.222897","      18.427601","      11.465277","      11.392691","      11.939940","      11.407006","      11.214522","      11.624374","      10.841346","      10.448214","      10.528255","      10.565195","      11.298486","      10.032819","      10.071697","       9.618742","     433.768418"
"AMADOR","Total","     317.885054","     304.092677","     313.312866","     309.094100","     285.308438","     289.501492","     310.344276","     321.831782","     310.157732","     315.578963","     326.900566","     332.069245","     322.485210","     307.668181","     295.012057","     300.784533","     271.380711","     262.089938","     305.606796","     362.061481","     334.902359","     325.524721","     317.051964","     330.602083","     361.312111","     350.855821","     352.336359","     335.420249","     338.670056","     315.982614","    9525.824435"
"BUTTE","Total","    1396.246344","    1475.788821","    1529.818607","    1482.073760","    1492.098630","    1489.484147","    1502.980505","    1506.787959","    1434.093939","    1418.045108","    1448.309256","    1464.831080","    1510.810315","    1424.509993","    1355.857496","    1376.643913","    1323.559319","    1349.041126","    1248.377662","    1564.503698","    1384.203698","    1280.499993","    1541.507515","    1371.460934","    1280.118768","    1519.236871","    1245.313236","    1284.006403","    1307.491598","    1401.795701","   42409.496395"
"CALAVERAS","Total","     330.559070","     332.353511","     347.931437","     316.143601","     311.620104","     319.671411","     326.656878","     326.618868","     326.183731","     315.971036","     324.336407","     319.930623","     322.116150","     318.236820","     307.828104","     288.331365","     272.021452","     272.713127","     255.358487","     255.426547","     250.684811","     243.544406","     233.957679","     223.123873","     213.730829","     232.842757","     247.213700","     247.354237","     251.603627","     243.949460","    8578.014108"
"COLUSA","Total","     285.485140","     297.127168","     292.588058","     296.877388","     306.202966","     304.308130","     298.170313","     279.950237","     270.876479","     256.092004","     265.170055","     256.848151","     250.476229","     248.209165","     248.182833","     235.053425","     221.722696","     253.360356","     250.348184","     240.899676","     242.776854","     204.912146","     214.246577","     204.701523","     194.573122","     204.096438","     194.913870","     196.240893","     194.261811","     195.642863","    7404.314750"
"CONTRA COSTA","Total","    9639.409434","    9258.840179","    9689.889020","    9589.785769","    9467.333569","    9588.186110","    9134.588171","    9102.682073","    9103.171044","    9115.502379","    9092.670707","    9351.522553","    8592.263749","    8673.366430","    8443.449719","    8478.173509","    8186.023329","    7982.336628","    8230.050400","    8625.822020","    9013.315869","    8677.140784","    9309.831941","    9065.637359","    9019.827907","    8908.572833","    8820.606502","    8401.783739","    8421.273853","    8597.007706","  267580.065285"
"DEL NORTE","Total","     210.253670","     207.026847","     216.930845","     204.701976","     211.884017","     203.417564","     225.977238","     227.757037","     238.021672","     241.727167","     241.369222","     249.762793","     255.241891","     236.502674","     229.723934","     234.680946","     220.295903","     217.287103","     220.118843","     236.487557","     221.369652","     217.618846","     213.615931","     247.710327","     209.553691","     214.387384","     221.550379","     211.793326","     211.411099","     192.650044","    6690.829578"
"EL DORADO","Total","    1227.890625","    1214.446675","    1255.275737","    1210.248427","    1170.078156","    1189.771417","    1241.483160","    1252.755842","    1243.222991","    1239.721538","    1268.215673","    1286.441034","    1275.212300","    1279.406307","    1206.963121","    1165.302983","    1109.159467","    1124.826324","    1113.686816","    1133.428982","    1099.914984","    1068.172754","    1015.461433","     999.489981","     956.658644","     917.585605","     919.313603","     893.339931","     881.783012","     876.767177","   33836.024699"
"FRESNO","Total","    7387.264573","    7602.408903","    7380.733777","    7581.155954","    7655.996169","    7668.799822","    7499.041386","    7376.984682","    6881.267821","    6900.987648","    7073.873757","    7117.565914","    7105.054955","    6511.377355","    6342.728912","    6564.093508","    6276.913907","    6361.224018","    6190.083734","    6395.352873","    6093.369171","    5641.194660","    5875.683159","    5673.113450","    5435.220230","    5549.971560","    5287.304864","    5528.216057","    5272.709990","    5043.042515","  195272.735324"
"GLENN","Total","     394.097988","     407.158438","     390.979920","     366.088423","     384.039924","     381.252302","     349.691017","     307.358539","     294.945172","     297.271163","     304.660553","     329.719857","     351.597916","     380.303239","     361.088363","     417.259727","     356.848640","     484.798873","     385.447646","     360.743525","     380.308267","     343.384687","     368.128232","     339.006026","     362.914494","     302.953975","     296.552012","     300.352478","     300.158489","     404.450451","   10703.560336"
"HUMBOLDT","Total","     791.364172","     799.993602","     824.277010","     836.352360","     824.665568","     840.885749","     891.512000","     900.514055","     916.061669","     927.397450","     907.891897","    1011.114111","    1046.031519","    1022.631101","     961.277729","     961.529440","     917.572563","     957.177447","     965.673236","    1139.429718","    1142.554329","    1103.027108","    1040.882709","    1051.726411","    1101.127942","    1085.429189","    1041.684075","    1004.654587","    1036.029267","    1007.867146","   29058.335159"
