"County","Sector","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"ALAMEDA","Total","     384.150529","     377.001752","     379.027272","     361.870956","     358.443410","     362.604845","     423.241361","     410.938965","     422.697446","     422.080870","     419.620653","     436.682083","     415.369794","     431.451635","     422.569101","     459.490785","     414.735273","     446.064117","     464.094762","     520.692063","     533.438465","     506.439406","     467.156102","     454.053489","     458.006829","     464.728331","     479.644412","     448.287225","     507.997594","     501.193185","   13153.772710"
"AMADOR","Total","       7.224730","       6.304690","       6.257410","       5.546489","       4.990351","       5.158507","       8.502459","       8.533822","       9.033135","       9.151755","       8.956353","       8.402478","       7.880258","       8.377656","       6.243715","       7.256763","       7.117086","       7.532660","       8.718592","       8.779060","      10.025838","       9.122370","       8.175498","       8.327302","      16.048423","      13.330326","      15.461547","      13.539877","      13.550833","      13.274175","     270.824158"
"BUTTE","Total","      39.225366","      41.980110","      44.838804","      42.367872","      40.433034","      41.956379","      47.440316","      46.946035","      49.053073","      47.546717","      46.814071","      46.573361","      47.038853","      47.852198","      47.191646","      52.974156","      51.409728","      48.410486","      46.437663","      65.608429","      68.803100","      66.721757","      55.325145","      47.718064","      46.493971","      47.490081","      46.255241","      42.056755","      46.882148","      45.209241","    1455.053800"
"CALAVERAS","Total","       0.962950","       0.836171","       0.961404","       0.910682","       0.979349","       0.819378","       1.040040","       0.941137","       1.018364","       0.907999","       1.031907","       1.130993","       0.999210","       1.015324","       0.985876","       1.036796","       0.990001","       1.036872","       0.981281","       1.051395","       1.079967","       0.993016","       0.895763","       0.874923","       0.889371","       0.907170","       0.884617","       0.801001","       0.791728","       0.748706","      28.503391"
"COLUSA","Total","      31.465750","      32.699663","      28.256011","      36.379390","      37.927228","      30.486511","      29.076267","      26.758363","      25.415406","      27.430173","      28.072237","      27.882896","      28.434770","      33.255460","      27.348873","      36.915397","      27.204949","       7.904633","       7.932673","      41.973752","      40.073939","      36.613685","      25.987125","      24.507541","      26.090995","      32.371580","      11.402553","      21.425450","      13.667845","      13.992651","     818.953766"
"CONTRA COSTA","Total","    1205.045221","    1124.144134","    1117.912243","    1136.113579","    1087.653739","    1099.225831","    1097.962359","    1112.264711","    1080.011636","    1014.920687","     965.094805","     954.137059","     914.147544","    1017.729725","    1054.686725","    1141.708846","     896.668437","     833.156751","     986.668240","     924.639667","     837.391916","     939.896906","    1072.342105","    1019.072795","     843.368828","     729.388435","     738.074633","     726.962492","     796.134252","     890.375932","   29356.900233"
"EL DORADO","Total","      34.914401","      32.279956","      33.828560","      30.683139","      28.892134","      27.460045","      31.387350","      29.511791","      32.868992","      31.333421","      31.627628","      31.378313","      23.698431","      23.168559","      26.389521","      25.021388","      25.850363","      28.374998","      27.858090","      20.165756","      24.821180","      24.251708","      23.152688","      24.410809","      21.302245","      21.886281","      20.180057","      15.359054","      13.472533","       8.621332","     774.150723"
"FRESNO","Total","     352.192240","     346.631076","     341.199319","     285.421137","     299.981914","     294.968519","     300.248652","     306.172217","     295.766511","     283.287216","     271.420613","     278.153542","     297.956718","     317.438246","     313.682315","     341.371186","     296.030032","     292.168515","     302.020898","     353.696638","     343.529601","     366.450824","     279.909569","     273.455708","     313.155011","     318.881877","     298.609901","     269.120732","     282.844647","     294.923427","    9210.688801"
"GLENN","Total","       8.683947","       8.025895","       8.534492","       8.133127","       8.331818","       7.907505","       8.094662","       7.689121","       8.329852","       7.768980","       8.060779","       7.776194","       8.997294","      10.222328","       9.776444","      13.401848","      12.859786","      12.689794","      14.064685","      12.330781","      10.391197","      10.460137","      10.907208","      13.168552","      21.475652","      19.639144","      15.345348","      13.849778","      15.842471","      15.090367","     337.849186"
"HUMBOLDT","Total","      31.810605","      31.625835","      32.365570","      29.274652","      28.933671","      28.720838","      35.225007","      34.691138","      34.140126","      33.303494","      34.176015","      40.097095","      35.295401","      35.828539","      35.665049","      39.965499","      34.993957","      42.203447","      50.929293","      51.421441","      55.444677","      49.501262","      44.984534","      46.545380","      50.734844","      43.452077","      47.216772","      55.266141","      54.978036","      53.349803","    1222.140198"
